DocumentDate,SalePrice,PropertyID,PropertyType,ym,zhvi_px,zhvi_idx,AdjSalePrice,NbrLivingUnits,SqFtLot,SqFtTotLiving,SqFtFinBasement,Bathrooms,Bedrooms,BldgGrade,YrBuilt,YrRenovated,TrafficNoise,LandVal,ImpsVal,ZipCode,NewConstruction
2007-06-09,280236,1000001,Condo,2007-06-01,346147,1.1538233333333334,242876,2,9159,1923,0,2.5,3,7,1967,2010,0,153723,495189,98004,False
2020-06-24,535347,1000002,Townhouse,2020-06-01,566742,1.88914,283381,1,5855,2155,0,3.0,4,10,1962,0,0,169825,324099,98103,False
2013-09-20,384855,1000003,Single Family,2013-09-01,392990,1.3099666666666667,293789,1,13270,2254,0,3.5,3,10,1946,2021,0,137258,251104,98102,False
2018-06-25,514276,1000004,Townhouse,2018-06-01,495811,1.6527033333333334,311172,1,5176,4013,600,1.0,2,9,2015,0,0,187464,233408,98004,False
2015-12-29,467275,1000005,Condo,2015-12-01,444405,1.48135,315438,1,2432,420,400,2.2,4,9,1953,2012,2,175579,260658,98102,False
2023-12-15,576056,1000006,Single Family,2023-12-01,625424,2.0847466666666667,276319,1,6086,2646,600,3.7,3,7,1985,2002,2,311046,474183,98004,False
2013-01-12,389396,1000007,Condo,2013-01-01,442757,1.4758566666666666,263844,1,1573,2008,0,3.2,3,6,1954,0,0,130041,268059,98104,False
2018-11-12,522221,1000008,Condo,2018-11-01,465812,1.5527066666666667,336329,1,9753,2553,800,2.6,3,8,2006,2020,1,206161,372549,98003,False
2014-11-12,401228,1000009,Multiplex,2014-11-01,420629,1.4020966666666668,286162,2,1304,1574,0,2.6,3,6,1954,0,0,214870,269925,98104,False
2024-09-02,599590,1000010,Single Family,2024-09-01,626734,2.089113333333333,287006,4,7585,2060,0,2.0,3,5,1990,2010,0,135780,320894,98002,True
2014-07-10,391632,1000011,Multiplex,2014-07-01,398980,1.3299333333333334,294474,1,1266,2669,800,2.6,3,4,1947,2009,2,241209,363339,98102,False
2011-03-27,390156,1000012,Single Family,2011-03-01,369893,1.2329766666666666,316434,1,6539,4590,0,3.0,3,4,2008,1996,1,176100,254247,98104,True
2008-09-10,346733,1000013,Condo,2008-09-01,346014,1.15338,300623,1,12430,2746,400,2.3,1,9,2001,0,0,50456,248711,98001,False
2009-02-22,330436,1000014,Condo,2009-02-01,345383,1.1512766666666667,287017,1,8581,1421,0,3.1,4,8,1990,0,0,239590,432709,98102,False
2024-11-14,632207,1000015,Townhouse,2024-11-01,601162,2.0038733333333334,315492,2,4909,1760,0,3.6,3,6,2002,0,2,132983,378767,98105,False
2009-11-05,396771,1000016,Single Family,2009-11-01,408439,1.3614633333333332,291429,1,7406,1737,600,1.5,1,9,2007,0,1,137133,363253,98002,False
2011-08-19,350373,1000017,Multiplex,2011-08-01,384919,1.2830633333333332,273075,1,7554,663,0,2.4,4,7,2017,2000,0,241274,362982,98001,False
